ncons,Id IMDb,Identité,Photo de profil,Connu pour ces Films,Popularité,Biographie,Année de naissance,Lieu de naissance,Année de décès,Métier,Profession Primaire,Profession Secondaire,Profession Tertiaire
nm0150061,1333560.0,Roland Chalosse,/8WW7f4IZ10zwVg5vn24F40QrfMQ.jpg,"tt0096689,tt0084085,tt0240149,tt0239224",0.0143,"Roland Chalosse, né le 2 janvier 1930 à Paris et mort le 17 décembre 2015 à Lyon, est un acteur, metteur en scène et directeur de théâtre français. Il a notamment joué dans le film Normandie-Niémen, interprétant le rôle de Georges Lebiedinsky.

Source: Article ""Roland Chalosse"" de Wikipédia en français, soumis à la licence CC-BY-SA 3.0.",1930-01-02,"Paris, France",2015-12-17,actor,actor,Inconnu,Inconnu
nm1229184,1658756.0,Achiles Francisco Varas dell'Aquila,,tt0240149,0.0286,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1229731,3163541.0,Henri Pasquale,,"tt0240149,tt0158405",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1120573,543876.0,Lin Yan,,"tt0343660,tt0240468,tt0475263,tt7596784",0.0741,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm9313032,,Escobar Tongue,,,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0973007,1184386.0,Attilio Cucari,,"tt0335635,tt0488034,tt0242994,tt0856133",0.0582,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0271033,2361176.0,Eric Feldman,,"tt13846402,tt0243135,tt0413179,tt2144176",0.0168,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0094165,1620857.0,Jacques Bondoux,/3P4Qg6RIc7inY5nci6CE900lqmU.jpg,"tt0281364,tt1077009,tt0085378,tt0173569",0.0639,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0844030,3771191.0,Stéphane Szestak,/4adTdiLTO34UvIerNPPAOxMnlYE.jpg,"tt4057632,tt3306898,tt11450972,tt29198923",0.0327,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0345721,286077.0,Ahmed Guedayia,,"tt0265932,tt0260036,tt0286009,tt0246278",0.0989,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1292144,,Gaëtan Fauchoix,,tt0246278,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1296270,,Cédric Michel,,"tt11950864,tt0246278,tt0106042,tt5684214",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1076040,2661312.0,Alan Bilzerian,,tt0252503,0.0546,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0293784,2661315.0,Richard L. Friedman,,"tt0360009,tt0252503,tt0120176,tt0120202",0.0737,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0109398,,Jean Podalydès,,"tt0385933,tt30402052,tt24799686,tt12078024",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0814400,28005.0,Maurice Sonnenberg,/cEp5qs6fnn12zJqbnfsLz8q8LEZ.jpg,"tt1605783,tt0120533,tt0497465,tt2334873",0.3617,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0173589,1621193.0,Jean-Marie Combelles,,"tt0339553,tt1548603,tt0428289,tt0256666",0.0596,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1063011,584434.0,Jean Ségani,,"tt0996932,tt0256666,tt0422719,tt0291004",0.0,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1062188,,Yves Dinse,,"tt0339553,tt0256666",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1063401,,Serge Ribes,,"tt0339553,tt0256666",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0272914,,Rui Fernandes,,"tt0310029,tt0256666,tt0487867,tt0779809",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1062596,,Jérôme Mancet,,"tt0339553,tt0256666",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1868590,1386338.0,Blaze Walker,,tt0258100,0.1186,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1868612,1386339.0,Storm Walker,,tt0258100,0.0617,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0136368,1386340.0,Paul Carden,,"tt0258100,tt0119196,tt0094484,tt0080785",0.0168,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0431161,1171088.0,Jean-Paul Jourdàa,,tt0259289,0.0143,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0878070,1171089.0,Michel Turquin,,tt0259289,0.0,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1005523,4948366.0,Remo Greene,,"tt0259484,tt0197182",0.0498,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
